ID,table,Last Update,Prev Update,Last Update,Prev Update,
CPMNACNSAB1GQUK,ukgdp,07/01/2020,04/01/2020,07/01/2020,04/01/2020,TRUE
LMUNRRTTGBM156N,ukunemploy,11/01/2020,10/01/2020,11/01/2020,10/01/2020,TRUE
UMICH/SOC1,umichcsi,12/31/2020,11/30/2020,12/31/2020,11/30/2020,TRUE
GFDEGDQ188S,usdebtgdp,07/01/2020,04/01/2020,07/01/2020,04/01/2020,TRUE
FRED/DFF,usfedfundsrate,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
GDP,usgdp,10/01/2020,07/01/2020,10/01/2020,07/01/2020,TRUE
USTREASURY/YIELD,usgovtyieldcurve,02/05/2021,02/04/2021,01/29/2021,01/28/2021,FALSE
FRED/ICSA,usjoblessclaims,01/30/2021,01/23/2021,01/23/2021,01/16/2021,FALSE
RELACBW027SBOG,usrealestateloans,01/27/2021,01/20/2021,01/20/2021,01/13/2021,FALSE
PSAVERT,ussavings,06/01/2020,05/01/2020,06/01/2020,05/01/2020,TRUE
CPIAUCSL,usurbancpi,12/01/2020,11/01/2020,12/01/2020,11/01/2020,TRUE
CHRIS/CME_W1,wheatfut,02/05/2021,02/04/2021,01/29/2021,01/28/2021,FALSE
CHRIS/SHFE_ZN1,zincfut,02/05/2021,02/04/2021,01/29/2021,01/28/2021,FALSE
CHRIS/CME_SP1,sp500fut,02/05/2021,02/04/2021,01/29/2021,01/28/2021,FALSE
CHRIS/LIFFE_Z1,ftse100fut,12/18/2020,12/17/2020,12/18/2020,12/17/2020,TRUE
CHRIS/MX_SCF1,tsxcompfut,02/05/2021,02/04/2021,01/28/2021,01/27/2021,FALSE
CHRIS/CME_GC1,goldfut,02/05/2021,02/04/2021,01/29/2021,01/28/2021,FALSE
CHRIS/ASX_AP1,asxfut,02/05/2021,02/04/2021,01/29/2021,01/28/2021,FALSE
CHRIS/CME_NK1,nikfut,02/05/2021,02/04/2021,01/29/2021,01/28/2021,FALSE
